session_id,target
1,7.001693705784147e-05
2,8.499298839880756e-08
3,2.0120047072728378e-07
4,3.294256349139003e-08
5,3.256452180690708e-05
6,2.6369074176217595e-05
7,0.004191139018642474
8,0.0010119214243866695
9,1.801038479876943e-05
10,0.0007443721938065909
11,0.00012077557857408672
12,6.32946287575653e-06
13,2.2845813414629532e-05
14,0.021165818560169455
15,0.0003572587956121453
16,0.0001505723940851212
17,0.0016646174033269029
18,2.8639885196367346e-06
19,0.0012859721350176154
20,4.792703088385038e-07
21,0.051844138622537984
22,7.134493911891926e-08
23,0.00013864982022190544
24,0.00010400494849700258
25,0.006629897583087179
26,4.3473756454986133e-07
27,4.0134184810208734e-05
28,4.578846090564718e-08
29,0.013565698649655053
30,0.0002192457556447261
31,0.024842456622568714
32,0.02012486180416969
33,4.381719704350849e-05
34,1.3531341931660712e-06
35,0.02138247542934221
36,0.0010934477927376461
37,3.306909838563849e-09
38,1.23617454552726e-07
39,0.0002192457556447261
40,1.8866649673228703e-06
41,0.0010827308632997364
42,0.0005429476178702184
43,3.204539860188815e-05
44,7.680360499235552e-06
45,0.3146458245962826
46,2.4132537497029404e-05
47,0.0001737126441388055
48,9.114150806113124e-06
49,5.4717699784665136e-05
50,9.447381752903629e-07
51,3.669291058392545e-08
52,2.1822641896834712e-05
53,0.06346314077539612
54,0.00016147887017922883
55,6.537634274223334e-05
56,0.0002220910831972672
57,2.401958098601067e-07
58,5.507327904660568e-06
59,1.709652344520723e-06
60,4.3597228943134025e-07
61,1.2390311874933874e-06
62,0.00038189744269681494
63,1.8500202950945654e-06
64,0.00018336927385693026
65,1.8243107399988275e-06
66,9.759851835185235e-07
67,0.00010909530398239164
68,0.00012307520103807884
69,0.1240268367496859
70,2.0972554798248658e-05
71,0.00021027509248043068
72,8.808463082107943e-05
73,0.0007639178921199125
74,4.379364369822808e-06
75,0.00013108627967662145
76,0.00034138868833464816
77,0.001042495908262448
78,0.0029730577619564054
79,4.1712034611787825e-05
80,1.653801571380032e-05
81,6.971925810099588e-06
82,2.714043829879164e-05
83,4.7208497952049744e-09
84,0.9125861025416216
85,3.9115187015517866e-05
86,8.003120602820036e-07
87,0.005497592187335719
88,0.0004594015114931515
89,0.0019969112170195747
90,0.10517293163258543
91,1.456823535031475e-05
92,2.948596204104457e-07
93,0.028109976300432694
94,3.6664745023117086e-05
95,0.0020886767782229616
96,2.843448233659792e-07
97,0.00020549226854401677
98,7.99650446867484e-06
99,3.848623763340896e-06
100,0.0006390162738496111
101,7.625387782363082e-05
102,0.00216182864907543
103,8.164143029723071e-05
104,0.0001066474483634619
105,1.8951365507079795e-05
106,1.488694821728826e-05
107,0.00017515880673955964
108,2.1034843219947905e-05
109,3.4917191286138506e-06
110,8.509081856838928e-06
111,0.0004882947462552775
112,3.446787826274487e-08
113,0.0006686200685739909
114,7.524326677160573e-07
115,4.209913947613517e-06
116,7.825856603588414e-07
117,0.00010490519773302585
118,0.0012491562411889613
119,1.3568354202780373e-06
120,0.000400499747188969
121,3.2235679449594945e-06
122,4.255932465669657e-06
123,1.8590722887357355e-05
124,2.1133883095105264e-05
125,0.0075919215346406865
126,4.0264614782272836e-07
127,8.521933102657022e-08
128,4.5268703770875806e-05
129,0.0031464470330881864
130,0.006123272693198147
131,0.0015714748818984354
132,0.004191139018642474
133,0.002734063618007251
134,1.1541240080577206e-05
135,2.9355596265322853e-07
136,0.00018089907903970075
137,3.788726504317064e-05
138,0.002327415039187587
139,1.1938693442704247e-06
140,0.00010661873691944546
141,2.52990019550916e-08
142,4.04876222394895e-05
143,3.611030422216251e-05
144,0.0051948198812021475
145,8.499298839880756e-08
146,0.000342487137009116
147,7.873300429208129e-05
148,0.002180678323129547
149,0.004079546661636923
150,0.01369720189622852
151,2.7161671492867717e-07
152,0.005084889863056131
153,0.0001516124625999325
154,8.91943728680018e-05
155,0.0001447756660249463
156,3.864600383481357e-06
157,7.1960056252589555e-06
158,0.00018089907903970075
159,3.570157782273777e-05
160,4.255932465669657e-06
161,0.0016444003504238163
162,0.0002563230402141344
163,0.00024074103610162887
164,0.005036579091241736
165,9.986516311746326e-07
166,2.6876880429661166e-06
167,0.011375534062051681
168,0.004081408663825023
169,0.0023302129028007624
170,0.0016131722659413431
171,0.004397774286548393
172,6.88011514073583e-05
173,0.0001984132580940934
174,8.784676467464931e-05
175,0.5124125812970538
176,0.0023543752781574156
177,0.008073761387657894
178,1.640040061372543e-06
179,7.517388462025372e-05
180,0.0007721126998016873
181,3.198004830226213e-05
182,0.0011064727558133607
183,1.4202421369698357e-05
184,3.3495425383032e-05
185,3.0419881591632535e-05
186,0.00010603441810726482
187,1.0744533417722171e-07
188,3.424834474997464e-07
189,0.004680739793574439
190,4.191469728811275e-05
